subjid,event,meanamp
Per_Choice_119_rb.ept,CorrectFdbk,4.137277004
Per_Choice_119_rb.ept,CorrectFdbk,8.515430276
Per_Choice_119_rb.ept,CorrectFdbk,-3.061610672
Per_Choice_119_rb.ept,CorrectFdbk,1.017663211
Per_Choice_119_rb.ept,CorrectFdbk,5.45939726
Per_Choice_119_rb.ept,CorrectFdbk,0.311290079
Per_Choice_119_rb.ept,CorrectFdbk,5.300638171
Per_Choice_119_rb.ept,CorrectFdbk,0.005046049
Per_Choice_119_rb.ept,CorrectFdbk,-0.119202911
Per_Choice_119_rb.ept,CorrectFdbk,6.80189805
Per_Choice_119_rb.ept,CorrectFdbk,7.958879035
Per_Choice_119_rb.ept,CorrectFdbk,2.832475827
Per_Choice_119_rb.ept,CorrectFdbk,3.199621254
Per_Choice_119_rb.ept,CorrectFdbk,2.609074688
Per_Choice_119_rb.ept,CorrectFdbk,8.056593066
Per_Choice_119_rb.ept,CorrectFdbk,7.816532624
Per_Choice_119_rb.ept,CorrectFdbkFood,4.137322918
Per_Choice_119_rb.ept,CorrectFdbkFood,8.515430276
Per_Choice_119_rb.ept,CorrectFdbkFood,-3.061610672
Per_Choice_119_rb.ept,CorrectFdbkFood,1.017663211
Per_Choice_119_rb.ept,CorrectFdbkFood,0.311290079
Per_Choice_119_rb.ept,CorrectFdbkFood,5.300638171
Per_Choice_119_rb.ept,CorrectFdbkFood,0.005051881
Per_Choice_119_rb.ept,CorrectFdbkFood,-0.119202911
Per_Choice_119_rb.ept,CorrectFdbkFood,6.80189805
Per_Choice_119_rb.ept,CorrectFdbkFood,7.958879035
Per_Choice_119_rb.ept,CorrectFdbkFood,2.832702456
Per_Choice_119_rb.ept,CorrectFdbkFood,3.199621254
Per_Choice_119_rb.ept,CorrectFdbkFood,8.056593066
Per_Choice_119_rb.ept,CorrectFdbkFood,7.816511374
Per_Choice_119_rb.ept,IncorrectFdbk,-2.680939021
Per_Choice_119_rb.ept,IncorrectFdbk,-6.630971934
Per_Choice_119_rb.ept,IncorrectFdbk,-0.402924721
Per_Choice_119_rb.ept,IncorrectFdbk,3.201126501
Per_Choice_119_rb.ept,IncorrectFdbk,-4.062581214
Per_Choice_119_rb.ept,IncorrectFdbk,0.303974719
Per_Choice_119_rb.ept,IncorrectFdbk,-0.671506945
Per_Choice_119_rb.ept,IncorrectFdbk,1.501162889
Per_Choice_119_rb.ept,IncorrectFdbk,0.014273258
Per_Choice_119_rb.ept,IncorrectFdbk,1.166012778
Per_Choice_119_rb.ept,IncorrectFdbk,2.207081067
Per_Choice_119_rb.ept,IncorrectFdbk,4.358473344
Per_Choice_119_rb.ept,IncorrectFdbk,-0.211055053
Per_Choice_119_rb.ept,IncorrectFdbk,0.930916161
Per_Choice_119_rb.ept,IncorrectFdbk,-7.094382843
